City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,muscat,23.6139,58.5922,29.16,51,3,3.92,OM,1730068695
83,hawaiian paradise park,19.5933,-154.9731,27.16,80,100,2.57,US,1730068696
84,valderice,38.0401,12.6151,16.5,88,20,3.6,IT,1730068697
85,lijiang,26.8688,100.2207,11.27,98,99,0.8,CN,1730068700
86,flying fish cove,-10.4217,105.6791,24.82,83,100,3.6,CX,1730068701
87,anadyr,64.75,177.4833,-1.72,79,75,12.0,RU,1730068702
88,benjamin constant,-4.3831,-70.0311,25.03,88,75,2.57,BR,1730068704
89,mersing,2.4312,103.8405,24.95,88,20,2.57,MY,1730068705
90,papatowai,-46.5619,169.4708,9.18,79,94,4.38,NZ,1730068706
91,egilsstadir,65.2653,-14.3948,-2.05,80,75,1.54,IS,1730068707
92,yokadouma,3.5167,15.05,21.53,99,83,1.1,CM,1730068708
93,novodvinsk,64.4165,40.8122,1.86,95,46,3.14,RU,1730068450
94,vilyuchinsk,52.9306,158.4028,1.15,70,38,2.98,RU,1730068710
95,gamba,-2.65,10.0,25.04,89,100,4.5,GA,1730068711
96,olonkinbyen,70.9221,-8.7187,-5.3,82,100,21.76,SJ,1730068713
97,siwa oasis,29.2041,25.5195,19.76,59,0,3.4,EG,1730068714
98,bredasdorp,-34.5322,20.0403,15.78,86,100,11.42,ZA,1730068715
99,la passe,45.5549,-0.8967,13.63,89,0,2.5,FR,1730068716
100,celina,40.5489,-84.5702,12.1,40,1,2.04,US,1730068717
101,hadibu,12.65,54.0333,26.4,79,37,2.76,YE,1730068718
102,ha'il,27.5219,41.6907,17.01,100,0,3.09,SA,1730068719
103,buzim,45.0547,16.0319,12.2,88,28,1.35,BA,1730068721
104,naze,28.3667,129.4833,22.51,87,12,1.34,JP,1730068722
105,lamu,-2.2717,40.902,24.46,86,100,4.46,KE,1730068723
106,jawf al maqbabah,13.8378,45.8349,22.53,75,43,0.76,YE,1730068724
107,port blair,11.6667,92.75,26.77,82,45,2.58,IN,1730068725
108,kish,26.5578,54.0194,29.15,58,0,5.14,IR,1730068726
109,mandera,3.9366,41.867,28.5,62,93,2.22,KE,1730068727
110,lompoc,34.6391,-120.4579,18.96,75,75,7.6,US,1730068728
111,yarmouth,41.7057,-70.2286,10.57,50,0,3.09,US,1730068730
112,codrington,-38.2667,141.9667,13.81,60,64,5.68,AU,1730068731
113,salalah,17.0151,54.0924,26.05,83,0,1.03,OM,1730068732
114,taoudenni,22.6783,-3.9836,26.85,24,8,3.99,ML,1730068733
115,college,64.8569,-147.8028,-9.4,77,100,2.06,US,1730068734
116,zaozersk,69.4005,32.4476,5.15,89,100,8.16,RU,1730068735
117,kiruna,67.8557,20.2251,1.51,100,100,4.63,SE,1730068736
118,hacienda huancane,-15.8222,-70.8856,9.27,30,73,7.81,PE,1730068738
119,beau vallon,-20.4189,57.6953,23.13,94,20,0.0,MU,1730068739
120,coahuayana de hidalgo,18.7,-103.6583,30.3,64,0,1.98,MX,1730068740
121,gorontalo,0.5412,123.0595,26.76,74,47,0.13,ID,1730068741
122,eydhafushi,5.1033,73.0708,28.34,77,100,8.21,MV,1730068742
123,hasaki,35.7333,140.8333,19.63,91,100,6.98,JP,1730068743
124,dunedin,-45.8742,170.5036,12.67,69,94,1.34,NZ,1730068744
125,chachersk,52.9164,30.9179,7.73,66,83,1.35,BY,1730068745
126,tsiombe,-25.3,45.4833,23.71,87,87,4.43,MG,1730068747
127,port macquarie,-31.4333,152.9167,24.48,59,3,1.34,AU,1730068748
128,san juan nepomuceno,9.9516,-75.082,25.85,91,96,3.93,CO,1730068749
129,nouadhibou,20.931,-17.0347,20.99,68,51,9.77,MR,1730068750
130,al muwayh,22.4333,41.7583,26.42,41,95,6.23,SA,1730068751
131,fonte boa,-2.4959,-66.2662,23.3,99,100,2.35,BR,1730068752
132,usinsk,65.9939,57.5281,-1.79,91,26,2.92,RU,1730068753
133,rudsar,37.1376,50.288,12.0,91,92,1.98,IR,1730068754
134,kiunga,-6.1219,141.2906,24.44,95,96,0.29,PG,1730068756
135,happy valley-goose bay,53.3168,-60.3315,1.17,93,100,5.14,CA,1730068757
136,ta`u,-14.2336,-169.5144,26.81,82,36,7.25,AS,1730068758
137,hamilton,39.1834,-84.5333,14.44,46,0,1.34,US,1730068759
138,kruisfontein,-34.0033,24.7314,12.99,74,86,8.97,ZA,1730068760
139,sinop,41.7711,34.8709,8.7,72,0,2.9,TR,1730068761
140,kirakira,-10.4544,161.9205,27.18,83,100,2.98,SB,1730068762
141,swakopmund,-22.6833,14.5333,13.88,76,78,2.24,NA,1730068764
